"lhs","op","rhs","est","se","z","model","time","effect_type","effect","estRef","Bias","RelBiasPercent","Scenario","ScenarioSubtitle","effect_parsed","model_lab","Scenario_plain"
"Y3","~","X2",0.0278353630874032,NA,NA,"model_dpm_free",3,"cross","X[t-1] -> Y[t]",0.100000000000002,-0.0721646369125983,-72.1646369125972,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM-free","Scenario 0"
"X3","~","Y2",0.150000007184242,0.0525226397399457,2.8559114303267,"model_riclpm",3,"cross","Y[t-1] -> X[t]",0.149999999999999,7.18424392198713e-09,4.78949594799147e-06,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","RICLPM","Scenario 0"
"Y3","~","X2",0.0999999859100756,0.0508870845628904,1.96513490149917,"model_riclpm",3,"cross","X[t-1] -> Y[t]",0.100000000000002,-1.40899259204463e-08,-1.40899259204461e-05,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM","Scenario 0"
"X3","~","Y2",-0.010360480068577,NA,NA,"model_riclpm_free",3,"cross","Y[t-1] -> X[t]",0.149999999999999,-0.160360480068576,-106.906986712385,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","RICLPM-free","Scenario 0"
"Y3","~","X2",-0.125278775325526,NA,NA,"model_riclpm_free",3,"cross","X[t-1] -> Y[t]",0.100000000000002,-0.225278775325528,-225.278775325524,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
"X4","~","Y3",0.150000000000125,0.0491934964101197,3.04918354958132,"model_covariates",4,"cross","Y[t-1] -> X[t]",0.150000000000125,0,0,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","True Model","Scenario 0"
"Y4","~","X3",0.0999999999998692,0.0481663773863572,2.07613703637579,"model_covariates",4,"cross","X[t-1] -> Y[t]",0.0999999999998692,0,0,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","True Model","Scenario 0"
"X4","~","Y3",0.149999999999836,0.0491934956865803,3.04918359442294,"model_clpm",4,"cross","Y[t-1] -> X[t]",0.150000000000125,-2.88408186222e-13,-1.9227212414784e-10,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","CLPM","Scenario 0"
"Y4","~","X3",0.100000000000172,0.0481663781590583,2.07613700307598,"model_clpm",4,"cross","X[t-1] -> Y[t]",0.0999999999998692,3.02383118544469e-13,3.02383118544865e-10,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM","Scenario 0"
"X4","~","Y3",0.1499999999968,0.0510703116961157,2.93712716870316,"model_clpm_lag2",4,"cross","Y[t-1] -> X[t]",0.150000000000125,-3.32431304705949e-12,-2.21620869803782e-09,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","CLPM lag 2","Scenario 0"
