"lhs","op","rhs","est","se","z","model","time","effect_type","effect","estRef","Bias","RelBiasPercent","Scenario","ScenarioSubtitle","effect_parsed","model_lab","Scenario_plain"
"Y2","~","X1",0.10000000321047,0.0557542478451679,1.79358536928298,"model_dpm",2,"cross","X[t-1] -> Y[t]",0.0999999999014133,3.30905701451112e-09,3.30905701777341e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM","Scenario 0"
"Y2","~","X1",0.0981203429637234,NA,NA,"model_dpm_free",2,"cross","X[t-1] -> Y[t]",0.0999999999014133,-0.00187965693768993,-1.87965693954302,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM-free","Scenario 0"
"Y2","~","X1",0.0999999928441868,0.0507778151636855,1.96936383579779,"model_riclpm",2,"cross","X[t-1] -> Y[t]",0.0999999999014133,-7.05722648375318e-09,-7.05722649071066e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM","Scenario 0"
"Y2","~","X1",-0.0371952748177733,NA,NA,"model_riclpm_free",2,"cross","X[t-1] -> Y[t]",0.0999999999014133,-0.137195274719187,-137.195274854443,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
"Y3","~","X2",0.100000000106352,0.0481663781138801,2.07613700722777,"model_covariates",3,"cross","X[t-1] -> Y[t]",0.100000000106352,0,0,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","True Model","Scenario 0"
"Y3","~","X2",0.100000000039839,0.0481663785884233,2.07613698539243,"model_clpm",3,"cross","X[t-1] -> Y[t]",0.100000000106352,-6.65130034382955e-11,-6.65130033675572e-08,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM","Scenario 0"
"Y3","~","X2",0.100000002029194,0.0489142428779196,2.04439435521417,"model_clpm_lag2",3,"cross","X[t-1] -> Y[t]",0.100000000106352,1.92284128897047e-09,1.92284128692548e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
"Y3","~","X2",0.0999999911364823,0.0541484263485801,1.84677557373012,"model_dpm",3,"cross","X[t-1] -> Y[t]",0.100000000106352,-8.96987019383122e-09,-8.96987018429154e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM","Scenario 0"
"Y3","~","X2",0.11319086786657,NA,NA,"model_dpm_free",3,"cross","X[t-1] -> Y[t]",0.100000000106352,0.0131908677602171,13.1908677461882,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM-free","Scenario 0"
"Y3","~","X2",0.0999999937225403,0.0507778152470712,1.96936384986174,"model_riclpm",3,"cross","X[t-1] -> Y[t]",0.100000000106352,-6.38381214557171e-09,-6.38381213878237e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM","Scenario 0"
"Y3","~","X2",0.17727220805948,NA,NA,"model_riclpm_free",3,"cross","X[t-1] -> Y[t]",0.100000000106352,0.077272207953127,77.2722078709461,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
"Y4","~","X3",0.0999999999887014,0.0481663781891524,2.07613700154068,"model_covariates",4,"cross","X[t-1] -> Y[t]",0.0999999999887014,0,0,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","True Model","Scenario 0"
"Y4","~","X3",0.0999999999756099,0.0481663786222316,2.07613698260168,"model_clpm",4,"cross","X[t-1] -> Y[t]",0.0999999999887014,-1.30915417395627e-11,-1.30915417410419e-08,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM","Scenario 0"
"Y4","~","X3",0.0999999986822016,0.0489142429368216,2.04439428432662,"model_clpm_lag2",4,"cross","X[t-1] -> Y[t]",0.0999999999887014,-1.30649978336006e-09,-1.30649978350768e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
"Y4","~","X3",0.0999999886040871,0.055530963268124,1.80079693775976,"model_dpm",4,"cross","X[t-1] -> Y[t]",0.0999999999887014,-1.1384614292953e-08,-1.13846142942393e-05,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM","Scenario 0"
"Y4","~","X3",0.100000013938575,NA,NA,"model_dpm_free",4,"cross","X[t-1] -> Y[t]",0.0999999999887014,1.39498740059363e-08,1.39498740075124e-05,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM-free","Scenario 0"
"Y4","~","X3",0.0999999999575535,0.0507778152249298,1.96936397351058,"model_riclpm",4,"cross","X[t-1] -> Y[t]",0.0999999999887014,-3.11479453340979e-11,-3.11479453376172e-08,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM","Scenario 0"
"Y4","~","X3",0.0999999930501859,NA,NA,"model_riclpm_free",4,"cross","X[t-1] -> Y[t]",0.0999999999887014,-6.93851551214486e-09,-6.93851551292881e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
"Y5","~","X4",0.0999999999268488,0.0481663784088167,2.07613699078825,"model_covariates",5,"cross","X[t-1] -> Y[t]",0.0999999999268488,0,0,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","True Model","Scenario 0"
"Y5","~","X4",0.100000000006433,0.0481663786511044,2.07613698199709,"model_clpm",5,"cross","X[t-1] -> Y[t]",0.0999999999268488,7.95839921741148e-11,7.95839922323315e-08,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM","Scenario 0"
"Y5","~","X4",0.0999999994527423,0.0489142429545949,2.04439429933666,"model_clpm_lag2",5,"cross","X[t-1] -> Y[t]",0.0999999999268488,-4.74106448544731e-10,-4.74106448891546e-07,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
"Y5","~","X4",0.099999988564395,0.0557222924756699,1.79461368370761,"model_dpm",5,"cross","X[t-1] -> Y[t]",0.0999999999268488,-1.13624538111701e-08,-1.13624538194818e-05,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM","Scenario 0"
"Y5","~","X4",0.100000006320336,NA,NA,"model_dpm_free",5,"cross","X[t-1] -> Y[t]",0.0999999999268488,6.39348739228662e-09,6.39348739696354e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM-free","Scenario 0"
"Y5","~","X4",0.099999996927466,0.0507778141803198,1.96936395435122,"model_riclpm",5,"cross","X[t-1] -> Y[t]",0.0999999999268488,-2.99938274217482e-09,-2.9993827443689e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM","Scenario 0"
"Y5","~","X4",0.100000000707038,NA,NA,"model_riclpm_free",5,"cross","X[t-1] -> Y[t]",0.0999999999268488,7.80189052251856e-10,7.80189052822574e-07,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
