"lhs","op","rhs","est","se","z","model","time","effect_type","effect","estRef","Bias","RelBiasPercent","Scenario","ScenarioSubtitle","effect_parsed","model_lab","Scenario_plain"
"X5","~","X4",0.200000009056004,0.0625199616353162,3.19897843544147,"model_dpm",5,"auto","X[t-1] -> X[t]",0.199999999999851,9.05615338275823e-09,4.52807669138249e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","DPM","Scenario 0"
"Y5","~","Y4",0.299999997667414,0.0661881266884738,4.53253495267237,"model_dpm",5,"auto","Y[t-1] -> Y[t]",0.300000000000156,-2.33274205507783e-09,-7.77580685025538e-07,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","DPM","Scenario 0"
"X5","~","X4",0.200000017430204,NA,NA,"model_dpm_free",5,"auto","X[t-1] -> X[t]",0.199999999999851,1.74303530775521e-08,8.71517653878257e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","DPM-free","Scenario 0"
"Y5","~","Y4",0.299999981231799,NA,NA,"model_dpm_free",5,"auto","Y[t-1] -> Y[t]",0.300000000000156,-1.8768357201715e-08,-6.25611906723507e-06,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","DPM-free","Scenario 0"
"X5","~","X4",0.200000006370336,0.0542159853891105,3.68894902370448,"model_riclpm",5,"auto","X[t-1] -> X[t]",0.199999999999851,6.37048472307278e-09,3.18524236153876e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","RICLPM","Scenario 0"
"Y5","~","Y4",0.30000000095959,0.0540620605416645,5.5491780733808,"model_riclpm",5,"auto","Y[t-1] -> Y[t]",0.300000000000156,9.59434032221651e-10,3.19811344073717e-07,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","RICLPM","Scenario 0"
"X5","~","X4",0.19999999116803,NA,NA,"model_riclpm_free",5,"auto","X[t-1] -> X[t]",0.199999999999851,-8.83182055266829e-09,-4.41591027633744e-06,"Scenario~0","No~Confounding","X[t-1] %->% X[t]","RICLPM-free","Scenario 0"
"Y5","~","Y4",0.300000004083428,NA,NA,"model_riclpm_free",5,"auto","Y[t-1] -> Y[t]",0.300000000000156,4.08327127665586e-09,1.36109042555125e-06,"Scenario~0","No~Confounding","Y[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
"X2","~","Y1",0.149999999999822,0.0491934965544651,3.04918354062815,"model_covariates",2,"cross","Y[t-1] -> X[t]",0.149999999999822,0,0,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","True Model","Scenario 0"
"Y2","~","X1",0.100000000000186,0.0481663784028242,2.07613699256913,"model_covariates",2,"cross","X[t-1] -> Y[t]",0.100000000000186,0,0,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","True Model","Scenario 0"
"X2","~","Y1",0.150000000000106,0.0491934956844732,3.04918359455902,"model_clpm",2,"cross","Y[t-1] -> X[t]",0.149999999999822,2.83217893581877e-13,1.88811929054809e-10,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","CLPM","Scenario 0"
"Y2","~","X1",0.0999999999998893,0.0481663783183117,2.07613699620575,"model_clpm",2,"cross","X[t-1] -> Y[t]",0.100000000000186,-2.96998536875037e-13,-2.96998536874484e-10,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM","Scenario 0"
"X2","~","Y1",0.149999999999825,0.0491934956844709,3.04918359455347,"model_clpm_lag2",2,"cross","Y[t-1] -> X[t]",0.149999999999822,3.05311331771918e-15,2.03540887848186e-12,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","CLPM lag 2","Scenario 0"
"Y2","~","X1",0.100000000000183,0.0481663783183091,2.07613699621196,"model_clpm_lag2",2,"cross","X[t-1] -> Y[t]",0.100000000000186,-3.23352455922077e-15,-3.23352455921474e-12,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
"X2","~","Y1",0.150000010488072,0.0571915378948471,2.62276581482848,"model_dpm",2,"cross","Y[t-1] -> X[t]",0.149999999999822,1.04882500739922e-08,6.9921667160031e-06,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","DPM","Scenario 0"
"Y2","~","X1",0.0999999892634444,0.0557758131057095,1.79289164415978,"model_dpm",2,"cross","X[t-1] -> Y[t]",0.100000000000186,-1.07367418705762e-08,-1.07367418705562e-05,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM","Scenario 0"
"X2","~","Y1",0.134773327100381,NA,NA,"model_dpm_free",2,"cross","Y[t-1] -> X[t]",0.149999999999822,-0.0152266728994414,-10.1511152663063,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","DPM-free","Scenario 0"
"Y2","~","X1",0.0900653838091828,NA,NA,"model_dpm_free",2,"cross","X[t-1] -> Y[t]",0.100000000000186,-0.00993461619100354,-9.93461619098503,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM-free","Scenario 0"
"X2","~","Y1",0.149999989027846,0.0525226397036487,2.8559110866133,"model_riclpm",2,"cross","Y[t-1] -> X[t]",0.149999999999822,-1.09719759944227e-08,-7.31465066295712e-06,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","RICLPM","Scenario 0"
"Y2","~","X1",0.100000003953368,0.0508870852946762,1.96513522781447,"model_riclpm",2,"cross","X[t-1] -> Y[t]",0.100000000000186,3.95318178192383e-09,3.95318178191647e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM","Scenario 0"
"X2","~","Y1",-0.0648513265993156,NA,NA,"model_riclpm_free",2,"cross","Y[t-1] -> X[t]",0.149999999999822,-0.214851326599138,-143.234217732928,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","RICLPM-free","Scenario 0"
"Y2","~","X1",-0.0385691185803272,NA,NA,"model_riclpm_free",2,"cross","X[t-1] -> Y[t]",0.100000000000186,-0.138569118580514,-138.569118580255,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
"X3","~","Y2",0.149999999999999,0.0491934963862796,3.04918355105645,"model_covariates",3,"cross","Y[t-1] -> X[t]",0.149999999999999,0,0,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","True Model","Scenario 0"
"Y3","~","X2",0.100000000000002,0.04816637740112,2.0761370357422,"model_covariates",3,"cross","X[t-1] -> Y[t]",0.100000000000002,0,0,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","True Model","Scenario 0"
"X3","~","Y2",0.150000000000042,0.0491934956866496,3.04918359442283,"model_clpm",3,"cross","Y[t-1] -> X[t]",0.149999999999999,4.37982983214624e-14,2.91988655476419e-11,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","CLPM","Scenario 0"
"Y3","~","X2",0.0999999999999556,0.048166378163838,2.07613700286547,"model_clpm",3,"cross","X[t-1] -> Y[t]",0.100000000000002,-4.59354776438659e-14,-4.59354776438651e-11,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM","Scenario 0"
"X3","~","Y2",0.150000000004571,0.0510703116961221,2.93712716885494,"model_clpm_lag2",3,"cross","Y[t-1] -> X[t]",0.149999999999999,4.57214821558694e-12,3.04809881039132e-09,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","CLPM lag 2","Scenario 0"
"Y3","~","X2",0.0999999999954422,0.0489599678867412,2.04248499972001,"model_clpm_lag2",3,"cross","X[t-1] -> Y[t]",0.100000000000002,-4.55928350628909e-12,-4.55928350628902e-09,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
"X3","~","Y2",0.149999993972136,0.0560822782642709,2.67464159115124,"model_dpm",3,"cross","Y[t-1] -> X[t]",0.149999999999999,-6.02786243142361e-09,-4.01857495428245e-06,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","DPM","Scenario 0"
"Y3","~","X2",0.0999999935245051,0.0543909472197684,1.83854112928852,"model_dpm",3,"cross","X[t-1] -> Y[t]",0.100000000000002,-6.47549638910228e-09,-6.47549638910218e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM","Scenario 0"
"X3","~","Y2",0.0763794811502728,NA,NA,"model_dpm_free",3,"cross","Y[t-1] -> X[t]",0.149999999999999,-0.0736205188497257,-49.0803458998176,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","DPM-free","Scenario 0"
